5,6,5,1,5,3,11286,40,24,252,91,43,72,114,158,118,230,39,56,1237
5,7,4,2,0,1,11358,76,34,326,157,76,93,203,263,178,391,89,93,1979
6,4,2,4,3,7,1565,231,93,899,476,269,194,680,832,609,1225,232,231,5971
1,1,2,5,3,7,857,209,97,915,479,291,199,738,904,667,1207,282,239,6227
1,0,2,6,0,6,2191,160,74,660,398,216,148,490,637,443,903,187,164,4480
2,1,1,1,7,2,6408,74,37,335,152,78,83,195,251,176,347,64,74,1866
2,2,1,7,2,1,7484,113,66,472,242,136,130,346,390,277,573,128,140,3013
4,1,7,6,1,2,7481,74,38,321,159,89,88,206,257,186,407,82,88,1995
5,0,4,4,1,0,7860,52,40,285,139,71,87,180,219,152,349,74,76,1724
0,6,2,6,7,5,5084,165,57,501,368,200,179,574,799,637,1039,206,181,4906
1,2,4,0,3,1,4167,109,49,533,219,109,110,259,322,243,481,100,109,2643
2,1,0,2,1,3,3099,114,51,458,249,127,105,308,357,255,532,109,114,2779
4,7,0,4,3,5,5717,126,52,503,242,145,118,360,479,349,722,134,127,3357
6,2,0,4,5,3,9678,40,26,239,91,46,65,126,160,105,227,39,52,1216
6,0,2,3,7,5,6194,120,47,445,347,155,138,361,470,328,571,119,134,3235
2,0,3,3,3,3,4015,104,52,467,207,117,112,306,396,275,531,110,110,2787
4,0,5,0,3,0,6500,62,45,392,168,90,93,210,269,181,357,76,93,2036
3,0,2,1,7,3,5846,58,33,327,131,75,84,182,224,167,307,69,74,1731
4,0,5,0,7,0,8561,53,33,264,133,76,72,164,195,140,272,64,67,1533
6,6,5,1,5,3,12225,33,24,254,74,45,64,123,151,103,215,39,55,1180
2,1,4,6,2,3,5530,98,44,483,219,110,105,287,357,242,505,106,105,2661
4,0,5,0,5,0,7368,53,28,258,143,82,81,157,203,137,270,55,70,1537
0,3,7,0,5,4,3257,97,43,439,289,123,112,320,368,266,558,95,102,2812
2,1,3,3,5,4,4328,115,43,502,220,131,122,303,393,288,537,100,113,2867
3,3,3,3,3,3,5934,61,41,330,162,92,89,203,263,180,325,90,91,1927
5,5,7,2,7,3,10738,49,36,252,218,58,68,136,199,145,285,53,70,1569
7,2,6,3,7,3,10425,52,36,274,126,66,83,176,210,146,272,56,77,1574
6,5,3,0,4,7,1285,202,100,757,537,293,212,751,956,671,1231,279,240,6229
6,6,7,1,5,0,11238,56,33,320,482,112,96,179,220,173,362,75,106,2214
2,1,7,1,7,2,6143,86,46,452,247,122,116,268,382,242,418,105,112,2596
6,4,3,3,1,5,5388,92,43,415,208,104,106,271,350,278,505,101,105,2578
6,0,4,0,3,3,7291,52,45,372,125,86,84,174,230,155,293,65,77,1758
7,2,1,1,7,2,11503,34,23,268,71,43,67,122,177,113,223,44,57,1242
6,7,2,6,6,5,8906,107,62,412,290,132,125,402,538,414,665,133,122,3402
2,0,0,2,0,4,2479,143,48,581,323,149,128,401,472,337,659,125,132,3498
4,3,0,6,6,4,8416,89,32,473,206,118,103,268,363,254,459,77,87,2529
1,6,7,4,6,0,9146,55,42,257,347,100,78,171,236,147,361,79,77,1950
6,4,7,0,4,7,1195,199,91,739,516,294,203,797,989,698,1270,295,224,6315
4,2,0,4,5,0,9580,37,33,359,153,65,78,140,172,123,280,49,60,1549
6,7,0,2,1,3,11771,45,30,270,132,62,73,149,189,145,262,59,75,1491
3,1,6,0,0,0,4047,121,66,503,283,122,122,338,379,279,626,113,132,3084
2,1,3,5,6,6,2827,180,79,711,519,221,161,556,677,474,891,199,172,4840
4,7,3,0,6,4,10261,86,39,412,318,130,119,298,423,303,555,80,98,2861
0,1,6,1,4,6,1283,154,60,525,365,157,145,410,516,373,785,136,134,3760
4,2,6,6,6,4,7421,79,36,385,353,149,116,306,421,297,589,96,92,2919
7,2,4,3,7,3,11466,49,25,242,84,45,64,118,164,104,269,48,56,1268
6,2,0,4,5,0,10651,48,40,267,97,58,83,151,200,135,311,55,89,1534
4,6,4,4,2,4,8780,78,35,365,169,85,99,235,305,211,393,80,103,2158
3,1,3,1,4,4,4290,121,42,438,222,116,137,289,392,296,521,109,129,2812
3,3,3,3,7,3,7840,43,37,274,116,62,67,141,187,126,235,47,59,1394
0,1,0,2,0,4,1887,231,69,687,415,196,177,521,622,484,888,165,189,4644
6,6,5,2,1,0,11403,48,32,246,122,68,75,155,201,156,283,68,76,1530
6,7,4,2,0,1,12211,52,33,298,143,66,78,164,214,157,333,78,79,1695
0,3,7,0,7,4,3141,168,55,534,601,258,174,528,740,545,1023,195,173,4994
4,1,1,1,7,2,8216,42,30,302,129,64,76,161,191,129,243,51,62,1480
0,1,6,1,4,4,2688,140,50,477,329,153,168,356,499,361,639,141,152,3465
7,3,2,1,6,5,7508,89,35,352,195,94,104,274,362,265,525,88,104,2487
6,4,3,3,7,5,6988,151,49,587,509,227,144,477,667,487,862,184,154,4498
4,1,7,4,1,7,1044,189,98,826,545,297,185,744,911,651,1178,256,215,6095
2,0,3,1,6,4,3932,141,46,494,326,152,148,360,505,405,669,125,138,3509
6,4,3,3,5,5,6766,87,43,370,186,99,109,259,339,249,462,84,95,2382
7,2,1,1,5,2,11042,33,38,271,92,55,68,116,147,102,228,58,50,1258
2,1,0,6,2,3,5358,127,54,533,279,123,127,343,426,303,559,114,143,3131
6,7,1,0,7,3,13718,33,21,226,102,50,64,113,165,108,191,39,51,1163
2,0,0,2,0,6,1476,174,60,562,382,163,153,448,570,442,743,144,166,4007
7,1,7,6,0,3,9490,56,28,288,137,65,82,155,212,142,310,66,85,1626
6,6,5,1,5,0,12656,33,23,240,94,56,67,100,131,94,205,37,53,1133
4,1,6,0,1,2,5110,70,39,415,188,87,99,226,267,205,411,89,103,2199
6,2,0,4,0,1,8596,50,33,290,128,66,86,170,236,153,334,72,81,1699
2,1,7,6,1,2,5750,131,54,588,275,125,110,323,398,282,575,115,122,3098
7,0,2,1,6,5,6942,97,34,431,177,114,106,293,359,268,500,96,106,2581
0,1,5,2,2,6,1358,160,78,596,376,184,146,473,579,427,749,163,161,4092
7,2,6,1,6,3,10178,43,29,243,104,57,74,133,174,122,245,48,60,1332
6,7,0,1,5,3,12876,34,26,330,101,49,71,121,157,107,232,42,58,1328
6,0,2,1,6,5,5834,107,38,449,187,107,114,294,386,272,499,99,114,2666
2,1,1,1,5,2,5300,72,40,400,185,95,91,218,276,199,357,89,93,2115
4,3,2,6,6,4,8223,88,35,391,172,101,95,261,346,252,444,69,85,2339
0,4,0,4,1,4,3652,122,56,557,270,143,123,369,436,323,583,127,126,3235
6,0,5,6,3,3,9418,41,29,288,109,58,64,132,173,118,271,52,65,1400
2,1,5,1,7,2,6297,64,36,351,145,82,82,194,249,173,334,66,74,1850
6,7,1,1,7,3,13703,54,35,247,99,47,74,122,180,118,221,48,54,1299
1,2,5,6,3,1,6535,93,47,466,219,130,118,312,416,273,519,129,120,2842
6,2,0,4,3,3,8893,39,33,385,106,54,71,147,174,122,239,49,66,1485
6,2,0,5,7,3,10722,42,26,261,91,49,65,133,177,121,242,36,53,1296
6,2,0,4,7,3,10503,37,28,244,86,52,60,125,169,134,234,42,55,1266
6,7,4,1,4,5,7152,102,41,490,311,133,121,337,445,334,625,124,118,3181
5,1,3,0,1,0,6777,64,40,378,181,81,92,211,249,185,425,74,94,2074
7,5,7,0,4,5,7339,96,42,496,283,135,116,345,437,305,653,114,110,3132
5,2,3,2,4,6,2820,116,57,506,297,145,128,369,459,321,621,125,129,3273
4,2,5,1,5,2,7669,45,27,234,111,63,66,129,171,120,236,54,62,1318
3,1,7,6,0,0,7254,97,50,407,235,116,118,296,363,274,525,116,123,2720
3,2,6,3,7,0,8813,45,29,288,154,87,73,155,217,155,290,59,69,1621
5,5,7,2,0,1,9099,61,37,338,165,74,88,191,239,176,380,77,86,1912
7,3,3,3,6,5,7844,87,36,354,178,105,108,264,353,248,465,88,102,2388
6,7,6,1,5,3,12803,39,37,232,101,46,60,109,137,95,224,36,58,1174
6,0,5,0,7,0,10081,41,30,238,112,61,65,134,177,121,240,49,60,1328
5,1,3,0,5,0,8620,42,35,273,127,64,72,143,174,121,237,51,71,1410
4,1,4,5,1,1,7339,86,42,454,206,104,109,246,325,227,486,108,106,2499
1,7,2,7,3,7,1368,310,224,1507,752,420,270,997,1333,1067,1584,375,343,9182